code	date	time	title	speaker	break	room	floor	attention	abstract	profile
	2010-08-27	12:30 - 13:20	Open & Admission		true					
	2010-08-27	13:20 - 13:30	Opening			Hitotsubashi Memorial Hall	2nd Floor			
17H01	2010-08-27	13:30 - 14:30	Using Git and GitHub to Develop One Million Times Faster	Scott Chacon (GitHub)		Hitotsubashi Memorial Hall	2nd Floor		Git is the distributed version control system that is taking the software development world by storm.  GitHub is the Git social hosting website that is helping people share and collaborate on their code quickly and easily.  This talk will quickly introduce you to the Git tool and then demonstrate why it's features and structure can change your development life if you're still using Subversion or Perforce.  We will also cover how to use GitHub to take advantage of these features and new workflows that become available to collaborate on your open source projects.	Scott Chacon is a Git evangelist and Ruby developer employed at Logical Awesome working on GitHub.com. He is the author of the upcoming Pro Git book from Apress publishing, the Git Internals Peepcode PDF as well as the maintainer of the Git homepage (git-scm.com) and the Git Community Book. Scott has presented at RailsConf, RubyConf, Scotland on Rails, a number of local groups and has done corporate training on Git across the country.
	2010-08-27	14:30 - 14:40	Break		true					
17H02	2010-08-27	14:40 - 16:10	Pragmatic Patterns of Ruby on Rails	Yasuko Ohba (Everyleaf Corporation)		Hitotsubashi Memorial Hall	2nd Floor		I talk about coding patterns with Ruby on Rails. When an application becomes larger and more complex, it might be messy, insecure and hard to maintain in general. To keep codes nice, coding patterns are important. In this presentation, I introduce examples of coding patterns with Ruby on Rails, for example, authorization, RESTful and how to work on complex model structures.	A programmer loving developing. Working with Ruby on Rails these days. Wrote the book 'Ruby on Rails Quick Reference' in Japan. CEO of Everyleaf Corporation.
17H03	2010-08-27	14:40 - 16:10	Learning Successful Architcture from "Enterprise Rails"	Naoto Takai (ITOCHU Techno-Solutions Corporation / Akasaka.rb)		Hitotsubashi Memorial Hall	2nd Floor		What is the most important concern when developing enterprise applications? This session will focus on how to achieve data integrity with Rails, based on Dan Chak's "Enterprise Rails".	(TBA)
17M01	2010-08-27	14:40 - 16:10	A Study In The Rails Ecosystem	Akira Matsuda (Asakusa.rb)		Conference Room	2nd Floor		I'm not gonna talk about "How to create a Rails web app?", but will talk about "How Rails is created?" or "How to create Rails?".	freelance Railer / Rails Consultant / Rails Contributor / Founder of Asakusa.rb
17M02	2010-08-27	14:40 - 16:10	Using Adhearsion to Voice Enable your Ruby Applications	Jason Goecke(Partner at Adhearsion)		Conference Room	2nd Floor		Adhearsion ([[http://adhearsion.com|http://adhearsion.com/]]) is a Ruby-based framework, installable as a gem, that provides a comprehensive development environment for developing voice enabled applications using a jargon free DSL. Further, Adhearsion integrates with Rails in various ways, extending Rails seamlessly into the voice world.  We will provide an overview of why Adhearsion was created, how it works and then provide a tutorial on developing your first application.	Jason is the operationalizer, organizer, co-pilot, co-evangelist and lead business developer of Adhearsion. He brings extensive experience in telecoms and enterprise call centers having been an original employee of the leading CTI company, Genesys, where he is an inventor on multiple patents. He enjoys his family, sailing and of course all that is technology.
17S01	2010-08-27	14:40 - 16:10	Numeric in Ruby	Kentaro Goto (Syngram)		Conference Room	1st Floor		Overview of Numeric and its subclasses will be given. The implementation of these classes are very changed in Ruby 1.9 and notably improved in their performance. I'll show some background stories of the changes.	Author of Precision, benchmark.rb. coauthor of WEBrick. Web engineer.
17S02	2010-08-27	14:40 - 16:10	The standard random number generator of Ruby and the proposal to improve it	Kenta Murata (Ruby Sapporo)		Conference Room	1st Floor		I describe about the standard random number generator of Ruby and its defects, then show the proposal to improve it.	I'm a Japanese rubyist living in Sapporo. My favorite fruit is an apple (Fuji). My favorite computer is Mac.
17S03	2010-08-27	14:40 - 16:10	BDD and ZDD Libarayry for Ruby	Ryutaro KURAI (Hatena Co., Ltd.)		Conference Room	1st Floor		In this talk I will introduce the libarary of BDD and ZDD. BDDs (Binary Decision Diagrams) are graph-based representations of Boolean functions, now widely used in system design and verification. Zero-suppressed BDDs (ZDDs) are a special type of BDDs that are suitable for handling large-scale sets of combinations. Using BDDs and ZDDs, I will show you the solution for n-Queen problem and the some of Datamining problems.	A Web Application Engineer of Hatena Co., Ltd.
	2010-08-27	16:10 - 16:40	Break		true					
17H04	2010-08-27	16:40 - 17:40	From Rails to Rack: Making Rails 3 a Better Ruby Citizen	Yehuda Katz (Engine Yard)		Hitotsubashi Memorial Hall	2nd Floor		Rails 3 is on its way, and Yehuda Katz is giving attendees a sneak peek! With the advent of the Rack spec and library, Ruby web frameworks can interact in unprecedented ways. Imagine a Rails application routing to a Sinatra application, or Merb-style exception pages that catch exceptions from Rails or Cloudkit. These are focal points of Rails 3 and Yehuda's talk.  The idea is simple: create a tiny API for interaction between elements of a web application. Instead of requiring special mechanisms for tests, controller instantiation, or CSRF forgery protection, design apps as a collection of such elements strung together into a stack. As with Unix pipes, limiting the interaction between elements makes powerful combinations a snap.  In addition to Rack, Rails 3 will have better support for other Ruby packages, leveraging the work Merb did to support app-specific bundles. It will limit the changes it needs to make to the global namespaces, making it easier to use Rails together with other Ruby code without fearing that the changes that Rails will conflict with the other code. Finally, components of Rails 3 will be available, in an unprecedented way, as libraries that can be used outside of the web framework context to perform different kinds of work. For instance,  ActiveSupport will finally be modular enough to use easily in a third-party library, and ActionController and ActionView will be decoupled enough from the request/response context to be usable for other templating purposes.  Join Yehuda and talk about how the powerful ideas of Rack and modularity are informing Rails 3, and how they will change the way you develop.	Yehuda Katz is currently employed by Engine Yard, and works full time as a Core Team Member on the Rails and Merb projects. He is the co-author of jQuery in Action and the upcoming Rails 3 in Action, and is a contributor to Ruby in Practice. He spends most of his time hacking on Rails and Merb, but also on other Ruby community projects, like Rubinius and Datamapper. And when the solution doesn't yet exist, he'll try his hand at creating one - as such, he's also created projects like Thor and DO.rb.
17S04	2010-08-27	16:40 - 17:40	Design and Implementation of Programing Language with Static Typing	Kazunori Hashimoto、Masato Kiyama		Conference Room	1st Floor		Ruby has characteristic with dynamic typing, so we don’t have to be aware of type. But dynamic typing has disadvantages, the processing time is long and the program has lower reliability. Because type checking is executed at runtime. But static typing has advantages, processing time is fast and the program has high reliability. Because type checking is executed before runtime. Therefore we design and implement a programming language with static typing like Ruby. And we implement type inference because of keeping Ruby’s advantage.	(TBA)
17S05	2010-08-27	16:40 - 17:40	Perspective on Performance Improvement of Ruby Virtual Machine	Koichi Sasada (University of Tokyo / Nihon-Ruby-no-Kai)		Conference Room	1st Floor		Now, I'm working on improvement of Ruby Virtual Machine (VM) performance.  In this presentation, I'll show how to improve its performance.	(TBA)
	2010-08-27	17:40 - 17:50	Break		true					
17H05	2010-08-27	17:50 - 18:50	Lightning Talks (2010-08-27)	(See Abstract)		Hitotsubashi Memorial Hall	2nd Floor		Lightning Talks are 11 x 5minutes talk in a 60 minutes time slot: # Kouichirou Eto # Hidetoshi NAGAI, Kyushu Institute of Technology / Rubyist Kyushu # ANDO Yasushi, Seesaa Inc. # Shozo Arai # gaooh # Yamazaki Yasuhiro # Ayumu Aizawa # Mohammad A. Ali, eSpace # Tsukasa OISHI, Tabelog.com # Toshiaki Koshiba # Kazuki Matsumoto, CTO, Lang-8,inc  Lighning Talk Timer provided by: Kuniaki IGARASHI (Kosen Conference).  Acts as Dora-Musume(Gong Diva): Yuko Nagata (ObjectClub.jp).	(Omitted)
	2010-08-27	19:30 - 	Party (Registration Required)		true					
	2010-08-28	09:30 - 10:00	Open & Admission		true					
18H01	2010-08-28	10:00 - 12:00	Fate of Ruby 1.8	Urabe Shyouhei (Trans New Technology, Inc.)		Hitotsubashi Memorial Hall	2nd Floor		Ruby 1.8:  you may think you know, but do you really?  During this period its history and recent updates, plus a view for its future is illustrated to provide you a deeper look at what Ruby is, and where it goes.	An active ruby committer who has been maintaining its stable branches e.g. 1.8.5, 1.8.6, and currently 1.8.7.
18H02	2010-08-28	10:00 - 12:00	Road map for Ruby 1.9.2	Yugui - Yuki Sonoda (Scaleout Inc. / Akasaka.rb)		Hitotsubashi Memorial Hall	2nd Floor		(TBA)	(TBA)
18H03	2010-08-28	10:00 - 12:00	Ruby Reference Manual Renewal Project 2009 Summer	okkez (Ruby Reference Manual Renewal Project)		Hitotsubashi Memorial Hall	2nd Floor		In this talk, I will reflect on the progress of the Ruby Reference Manual Renewal Project, as well as discuss the latest developments and future plans. In contrast to previous years, where the project has been examined from Minero Aoki's perspective, this year I will talk about my reasons for joining the project. I will also describe in detail what is still left to be done, and ways that you can help the project.	I am a Japanese rubyist from Kansai. I have a lesson for beginners in KansaiRubyWorkshop. Next workshop will take place in Kyoto at 2009-07-25.
18H04	2010-08-28	10:00 - 12:00	Road to Rubyist Magazine	Koichi Sasada (Rubima Editor)		Hitotsubashi Memorial Hall	2nd Floor		I'll show about Rubyist Magazine (RubiMa), which makes 5th aniversary.  How to release every volume?  How is current status?  It may be first time to make a presentation about this topics.	An editor of Rubyist Magazine from the beggining of RubiMa.  Now, I do not touch editing work.
